SkillLongDescr,SkillShortDescr,SkillType,Show
Plone CMS (Open Source Content Management System),PloneCMS,Software,Y
Oracle's PeopleSoft Enterprise Campus Solutions 9.0 (i.e. CUNYfirst),PeopleSoft (CUNYfirst),Software,Y
SQL Server Management Studio (SSMS),SQL Server Management Studio (SSMS),Software,Y
MySQL,MySQL,Software,Y
Microsoft Office (Access; SQL Server; Excel; OneNote; Outlook; PowerPoint; Word; OneDrive),Microsoft Office,Software,Y
Excel Functions,Excel Functions,Software,Y
Google Suite (Docs; Mail; Sheets; Calendar; Drive),Google Suite,Software,Y
GitHub and GitHub Pages,GitHub and GitHub Pages,Software,Y
Tableau,Tableau,Software,Y
Arduino programming and design,Arduino programming and design,Software,N
HTML; CSS; Python; SQL; Javascript (D3.js),HTML; CSS; Python; SQL; Javascript (D3.js),Programming,Y
Communication; Teamwork; Leadership; Project Management; Problem Solving; Time Management; Organization; Critical Thinking; Creative Thinking; Attention to Detail; Research; ,Communication; Teamwork; Leadership; Project Management; Problem Solving; Time Management; Organization; Critical Thinking; Creative Thinking; Attention to Detail; Research; ,Soft Skills,Y
Intermediate Spanish; Intermediate Ancient Greek; Beginner Italian,Intermediate Spanish; Intermediate Ancient Greek; Beginner Italian,Languages,Y
Zammad,Zammad,Software,N
ClickUp,ClickUp,Software,N
Slack,Slack,Software,N
